+--------------------------------+---------------------------------------------------------------+-------+------------+
|            phrase1             |                            phrase2                            | label | Similarity |
|          either year           |                        one of the years                       |   1   |     1      |
|           4th track            |                            4th song                           |   0   |     1      |
|          case system           |                         box organizer                         |   1   |     1      |
|            one slip            |                            a paper                            |   1   |     1      |
|          informal one          |                      unrecognized economy                     |   0   |     1      |
|           one's path           |                    field of transportation                    |   0   |     1      |
|     well-organized system      |                     structured arrangement                    |   1   |     1      |
|       corresponding unit       |                related standard of measurement                |   1   |     1      |
|        children's play         |                          youth drama                          |   1   |     1      |
|       long relationship        |                       dedicated romance                       |   0   |     1      |
|          overall loss          |                   all-inclusive deprivation                   |   0   |     1      |
|       additional example       |                    add-on to this evidence                    |   1   |     1      |
|         important one          |                          vital person                         |   0   |     1      |
|         present ideas          |                        current thoughts                       |   0   |     1      |
|       additional series        |                       other media series                      |   1   |     1      |
|        gentle approach         |                         kind attitude                         |   1   |     1      |
|           one office           |                      a solitary division                      |   0   |     1      |
|        special position        |                      privileged position                      |   0   |     1      |
|         entire service         |                      religious gathering                      |   1   |     1      |
|       secondary contact        |                     additional activities                     |   1   |     1      |
|       consistent defense       |                        constant support                       |   0   |     1      |
|       second assignment        |                        dual appointment                       |   1   |     1      |
|             one ex             |                           a single x                          |   1   |     1      |
|         driving school         |                         Driving School                        |   1   |     1      |
|        reasonable level        |                         sufficient aim                        |   0   |     1      |
|       recurring pattern        |                       repetitive design                       |   0   |     1      |
|           outer coat           |                         surface layer                         |   0   |     1      |
|           last point           |                         closing moment                        |   0   |     1      |
|            main job            |                          center city                          |   1   |     1      |
|        incomplete form         |                       partial structure                       |   1   |     1      |
|         local elements         |                       regional defenders                      |   1   |     1      |
|        undefined point         |                       unspecific moment                       |   0   |     1      |
|         greater volume         |                          higher rate                          |   0   |     1      |
|        internal stress         |                        domestic tension                       |   1   |     1      |
|         white writing          |                       colorless creating                      |   0   |     1      |
|        family functions        |                      familial activities                      |   0   |     1      |
|           big party            |                     large organized group                     |   0   |     1      |
|          center spot           |                          middle point                         |   0   |     1      |
|         mounting step          | part of the process that involves pressing two sides together |   1   |     1      |
|       newly formed camp        |                    recently made encampment                   |   1   |     1      |
|         average looks          |                       generally appears                       |   1   |     1      |
|       physical exchange        |                         Personal fight                        |   0   |     1      |
|          tough course          |                         very hard path                        |   1   |     1      |
|        universal manner        |                         ubiquitous way                        |   0   |     1      |
|          major points          |                       important details                       |   0   |     1      |
|       suitable condition       |                       satisfactory state                      |   0   |     1      |
|           tv people            |                     television technicians                    |   0   |     1      |
|       penetration levels       |                 percentage of power generation                |   0   |     1      |
|           older line           |                         earlier track                         |   0   |     1      |
|        principal value         |                        major advantage                        |   0   |     1      |
|         local producer         |                     resident manufacturer                     |   1   |     1      |
|          woman's side          |                       female perspective                      |   1   |     1      |
|          double taper          |                           dual lines                          |   1   |     1      |
|          global image          |                       universal picture                       |   0   |     1      |
|           heavy spin           |                         colossal twist                        |   1   |     1      |
|       one or both sides        |                      one or both parties                      |   0   |     1      |
|         one lost year          |                        a stray 365 days                       |   0   |     1      |
|         higher height          |                        taller distance                        |   1   |     1      |
|         highest range          |                           top pitch                           |   0   |     1      |
|      education structure       |                       scholastic system                       |   0   |     1      |
|         private place          |                         secluded area                         |   1   |     1      |
|         original voice         |                        first to narrate                       |   1   |     1      |
|           smooth one           |                         painless path                         |   1   |     1      |
|       immediate creation       |                        sudden formation                       |   1   |     1      |
|          light poles           |                    portable support shafts                    |   1   |     1      |
|          empty blocks          |                      vacant neighborhoods                     |   0   |     1      |
|       exact distribution       |               precise numbers in various regions              |   1   |     1      |
|          unique state          |                   unusual quantum situation                   |   1   |     1      |
|         static nature          |                      immovable structure                      |   1   |     1      |
|        important trial         |                        overriding case                        |   0   |     1      |
|         typical break          |                         romantic split                        |   1   |     1      |
|         subject states         |                    represented territories                    |   1   |     1      |
|         core condition         |                        key stipulation                        |   0   |     1      |
|         public notice          |                       open announcement                       |   1   |     1      |
|          second duty           |                        extra assignment                       |   1   |     1      |
|          local stage           |                       community platform                      |   1   |     1      |
|          central fire          |                           chief star                          |   0   |     1      |
|       destructive effect       |                        damaging impact                        |   1   |     1      |
|            main job            |                          center city                          |   0   |     1      |
|   master-slave relationship    |               commander and operatives mechanism              |   1   |     1      |
|           last road            |                           end route                           |   0   |     1      |
|       offensive element        |                        attack component                       |   1   |     1      |
|            bear pit            |                            Bear Pit                           |   1   |     1      |
|          side courses          |                         other classes                         |   1   |     1      |
|       alternative stage        |                        additional level                       |   1   |     1      |
|          whole scene           |                        entire landscape                       |   1   |     1      |
|            one jump            |                             a step                            |   1   |     1      |
|          later piece           |                       subsequent section                      |   0   |     1      |
|      moderate resistance       |                       average opposition                      |   1   |     1      |
|          bright line           |                          clear limit                          |   0   |     1      |
|            one post            |                        a singular after                       |   0   |     1      |
|          little world          |                         private bubble                        |   1   |     1      |
|        effective result        |                      efficacious outcome                      |   1   |     1      |
|          high energy           |                  an excess of kilowatt hours                  |   0   |     1      |
|        community stage         |                        regional theater                       |   0   |     1      |
|       public consumption       |                       communal drinking                       |   0   |     1      |
|           modern cut           |                          in style hem                         |   1   |     1      |
|          fourth line           |                        four lines down                        |   1   |     1      |
|            "a" side            |                   primary side of the wharf                   |   0   |     1      |
|       particular network       |                   specific broadcast channel                  |   0   |     1      |
|          site visits           |                          website hits                         |   0   |     1      |
|           hard case            |                        solid encasement                       |   0   |     1      |
|        extensive record        |                       impressive history                      |   0   |     1      |
|         active person          |                        energetic being                        |   1   |     1      |
|       immediate creation       |                        instant founding                       |   0   |     1      |
|            open act            |                        visibile gesture                       |   1   |     1      |
|           one margin           |                           a percent                           |   1   |     1      |
|          borg family           |                           Borg group                          |   1   |     1      |
|       past examinations        |                       prior inspections                       |   0   |     1      |
|          minor share           |                           small role                          |   0   |     1      |
|          single life           |                        unmarried status                       |   0   |     1      |
|         normal action          |                          typical act                          |   0   |     1      |
|      perceived direction       |                       recognized course                       |   1   |     1      |
|        rule enforcement        |                      imposing regulations                     |   0   |     1      |
|          common point          |                         frequent place                        |   1   |     1      |
|       future engagement        |                     subsequent occurrence                     |   0   |     1      |
|         retention rate         |               ability to keep students enrolled               |   0   |     1      |
|      dissolution process       |                         energy release                        |   0   |     1      |
|       major distribution       |                    significant distribution                   |   1   |     1      |
|       future production        |                        upcoming staging                       |   0   |     1      |
|      particular response       |                         certain answer                        |   0   |     1      |
|      corresponding range       |                        similar breadth                        |   0   |     1      |
|      immediate succession      |                     next progression line                     |   1   |     1      |
|       offensive element        |                       insulting feature                       |   0   |     1      |
|           sex roles            |                male- or female-specific duties                |   1   |     1      |
|         final meeting          |                          last session                         |   1   |     1      |
|        fellow division         |                        partner company                        |   0   |     1      |
|          manual work           |                  temporary workplace solution                 |   0   |     1      |
|          high powers           |                     positions of authority                    |   0   |     1      |
|         last communion         |                   the novel "Last Communion"                  |   0   |     1      |
|          home network          |                     residential web system                    |   0   |     1      |
|           one status           |                             a rank                            |   1   |     1      |
|          little news           |                        some disclosures                       |   0   |     1      |
|             c line             |                             C wire                            |   0   |     1      |
|           one margin           |                           a percent                           |   0   |     1      |
|         typical design         |                     traditional depiction                     |   0   |     1      |
|          blank space           |                           empty area                          |   0   |     1      |
|          next theater          |                      upcoming environment                     |   1   |     1      |
|            side bar            |                            Side Bar                           |   1   |     1      |
|         final meeting          |                         ultimate match                        |   1   |     1      |
|         winter freeze          |                   extremely low temperatures                  |   1   |     1      |
|          third venue           |                      next formal meeting                      |   1   |     1      |
|          initial word          |                          primary term                         |   0   |     1      |
|        popular material        |                          trendy stuff                         |   0   |     1      |
|        principal types         |                         primary models                        |   1   |     1      |
|            hot bed             |                         bustling area                         |   1   |     1      |
|         joint defense          |                     collective protection                     |   1   |     1      |
|         better defense         |                      superior opposition                      |   1   |     1      |
|         current nature         |                      contemporary status                      |   0   |     1      |
|          later impact          |                      succeeding collision                     |   0   |     1      |
|            1 credit            |                          one position                         |   0   |     1      |
|           near ones            |                         closer issues                         |   1   |     1      |
|     following performance      |                      upcoming appearance                      |   0   |     1      |
|           entire lot           |                     complete product line                     |   0   |     1      |
|         whose interest         |                     with a fascination for                    |   0   |     1      |
|          larger event          |                        bigger incident                        |   1   |     1      |
|           good light           |                       decent lumination                       |   0   |     1      |
|           major mode           |                          main status                          |   1   |     1      |
|          clear sides           |                       transparent faces                       |   0   |     1      |
|           one donor            |                         single source                         |   1   |     1      |
|          pit managers          |                         hub executives                        |   1   |     1      |
|           last point           |                         final element                         |   0   |     1      |
|         defensive line         |                       protective barrier                      |   0   |     1      |
|        children's play         |                      kids' entertainment                      |   1   |     1      |
|       surgical division        |                          Medical unit                         |   1   |     1      |
|          house orders          |                       government decree                       |   1   |     1      |
|         original range         |                           first oven                          |   0   |     1      |
|      regulatory practice       |                       means of governing                      |   1   |     1      |
|           one junior           |                       single small size                       |   1   |     1      |
|        family functions        |                   household responsibilities                  |   0   |     1      |
|         complete block         |                          whole chunk                          |   0   |     1      |
|          little world          |                          small planet                         |   0   |     1      |
|          good volume           |                        decent loudness                        |   1   |     1      |
|       certain condition        |                     distinct prerequisite                     |   0   |     1      |
|         main selection         |                         primary trial                         |   0   |     1      |
|         stronger tone          |                     more assertive stance                     |   0   |     1      |
|          single place          |                         sole location                         |   0   |     1      |
|            us study            |                           "US Study"                          |   0   |     1      |
|           good round           |                         positive game                         |   0   |     1      |
|        effective action        |                      productive exertion                      |   1   |     1      |
|      structural character      |                    physical characteristics                   |   0   |     1      |
|         desired piece          |                          favored item                         |   0   |     1      |
|          first pillar          |                         initial column                        |   1   |     1      |
|           easy group           |                        obvious faction                        |   0   |     1      |
|        involved people         |                   participating individuals                   |   0   |     1      |
|      direct manifestation      |                   straightforward indication                  |   1   |     1      |
|         visual record          |                         physical file                         |   0   |     1      |
|      particular division       |                     specific apportionment                    |   1   |     1      |
|         fast division          |                      rapid apportionment                      |   0   |     1      |
|         complete cover         |                          full housing                         |   0   |     1      |
|       later association        |                         ensuing group                         |   0   |     1      |
|          similar text          |                      comparable contents                      |   1   |     1      |
|          much tension          |                   excessively high tautness                   |   1   |     1      |
|       elevated activity        |                        increased action                       |   1   |     1      |
|      friendly persuasion       |                      Friendly Persuasion                      |   1   |     1      |
|      moderate resistance       |                        modest immunity                        |   1   |     1      |
|    undocumented population     |                        unrecorded group                       |   1   |     1      |
|        real penetration        |                   true meaningful discourse                   |   1   |     1      |
|         tangible sense         |                         actual respect                        |   0   |     1      |
|       consistent pattern       |                        recurring habit                        |   1   |     1      |
|          higher place          |                       superior placement                      |   1   |     1      |
|        nearest approach        |                        closest attempt                        |   1   |     1      |
|        popular approach        |                         favored method                        |   1   |     1      |
|          present view          |                        modern panorama                        |   1   |     1      |
|       continuous motion        |                        consistent sound                       |   0   |     1      |
|      important structure       |                        essential organ                        |   0   |     1      |
|           last hours           |                         final moments                         |   0   |     1      |
|          actual board          |                       existing committee                      |   1   |     1      |
|         weaver family          |                    Ploceidae classification                   |   0   |     1      |
|         play structure         |                          game method                          |   0   |     1      |
|     especially the people      |                 the individuals in particular                 |   1   |     1      |
|           one asset            |                          one resource                         |   0   |     1      |
|          little break          |                      few stops in transit                     |   1   |     1      |
|          random time           |                     arbitrary by-the-clock                    |   1   |     1      |
|          ideal light           |                         approving way                         |   1   |     1      |
|          one platform          |                        a single station                       |   1   |     1      |
|           brown room           |                          Brown space                          |   0   |     1      |
|          extra story           |                          added layer                          |   1   |     1      |
|          house orders          |                       doctor prescribes                       |   1   |     1      |
|       one or two orders        |                  a single or double purchase                  |   1   |     1      |
|          long thread           |                lengthy list of accomplishments                |   0   |     1      |
|         whole movement         |                         entire motion                         |   1   |     1      |
|         higher control         |                      leadership practices                     |   1   |     1      |
|          past record           |                         previous album                        |   1   |     1      |
|        exact expression        |                     verbatim reproduction                     |   0   |     1      |
|       principal receiver       |                        primary wideout                        |   1   |     1      |
|         existing head          |                        current cranium                        |   1   |     1      |
|        site activities         |                        ground exercises                       |   1   |     1      |
|      sufficient material       |                        enough equipment                       |   1   |     1      |
|        robust selection        |                         varied options                        |   1   |     1      |
|          blank space           |                          Blank Space                          |   1   |     1      |
|          informal one          |                      unrecognized economy                     |   1   |     1      |
|          little queen          |                     barely any matriarchal                    |   1   |     1      |
|           full part            |                         complete area                         |   0   |     1      |
|        natural monopoly        |                       genuine ownership                       |   1   |     1      |
|       excellent control        |                         superb command                        |   1   |     1      |
|         founder group          |                         creator class                         |   1   |     1      |
|   immediate physical contact   |                          melee range                          |   1   |     1      |
|            one jump            |                          single leap                          |   1   |     1      |
|       certain condition        |                      specific requirement                     |   1   |     1      |
|           real test            |                        actual practice                        |   1   |     1      |
|           good dates           |                           ripe fruit                          |   1   |     1      |
|          growing line          |                        expanding field                        |   0   |     1      |
|        powerful spring         |                         forceful coil                         |   1   |     1      |
|         enormous body          |                         expansive data                        |   0   |     1      |
|           next line            |                       subsequent avenue                       |   0   |     1      |
|      appropriate service       |                      the correct provider                     |   1   |     1      |
|          peak summit           |                           high level                          |   1   |     1      |
|     simple interpretation      |                    straightforward meaning                    |   0   |     1      |
|        effective result        |                      efficacious outcome                      |   0   |     1      |
|           big brand            |                           name brand                          |   1   |     1      |
|           setup time           |                       preparation tasks                       |   1   |     1      |
|          decent score          |                        commendable sum                        |   0   |     1      |
|          ideal figure          |                       optimal character                       |   1   |     1      |
|          small length          |                         modest portion                        |   0   |     1      |
|           rich world           |                        wealthy society                        |   1   |     1      |
|        local operations        |                        nearby business                        |   0   |     1      |
|           last notes           |                          final words                          |   0   |     1      |
|         early delivery         |                      untimely childbirth                      |   1   |     1      |
|          light poles           |                    portable support shafts                    |   0   |     1      |
|         surface images         |                      floating depictions                      |   1   |     1      |
|        poor performers         |                        bad test-takers                        |   0   |     1      |
|      longest performance       |                   Most extended presentation                  |   0   |     1      |
|          little queen          |                     barely any matriarchal                    |   0   |     1      |
|           one margin           |                         the first side                        |   0   |     1      |
|         required form          |                          needed shape                         |   0   |     1      |
|         quick transfer         |                          rapid shift                          |   0   |     1      |
|          first blood           |                          scored first                         |   0   |     1      |
|         popular track          |                         favorite song                         |   0   |     1      |
|        greater clarity         |                  more comprehensible content                  |   0   |     1      |
|        lowest frequency        |                          least amount                         |   1   |     1      |
|         unknown charge         |                     unverified accusation                     |   0   |     1      |
|        competitive mode        |                         competing way                         |   1   |     1      |
|          one platform          |                      a particular medium                      |   0   |     1      |
|           good round           |                           solid ring                          |   0   |     1      |
|           good links           |                        apt connections                        |   0   |     1      |
|          second radio          |                      next music industry                      |   1   |     1      |
|        external defense        |                       offshore security                       |   0   |     1      |
|           last word            |                          closing term                         |   0   |     1      |
|            full one            |                         loaded weapon                         |   0   |     1      |
|          entire state          |                       complete condition                      |   1   |     1      |
|        building houses         |                      erecting residences                      |   1   |     1      |
|         original rock          |                     classic rock and roll                     |   0   |     1      |
|        closed position         |                       locked arrangement                      |   1   |     1      |
|          shallow pool          |                           low puddle                          |   1   |     1      |
|         first practice         |                         start exercise                        |   1   |     1      |
|        good treatments         |                        ideal therapies                        |   1   |     1      |
|            head end            |                        connecting point                       |   0   |     1      |
|         special symbol         |                       particular accent                       |   0   |     1      |
|          one chamber           |                        a single council                       |   0   |     1      |
|          first glass           |                        initial chalice                        |   0   |     1      |
|         separate seat          |                         solitary chair                        |   0   |     1      |
|          common point          |                       corresponding spot                      |   0   |     1      |
|           hard body            |                         tough exterior                        |   1   |     1      |
|        lower extension         |                          bottom area                          |   1   |     1      |
|     principal contribution     |                          main giving                          |   1   |     1      |
|          initial case          |                       earliest instance                       |   0   |     1      |
|       appropriate symbol       |                   applicable representation                   |   0   |     1      |
|         second anchor          |                      subsequent mainstay                      |   0   |     1      |
|        physical control        |                         complete power                        |   0   |     1      |
|          high powers           |                         intense energy                        |   0   |     1      |
|          every order           |                      each classification                      |   1   |     1      |
|         current office         |                    present-day appointment                    |   1   |     1      |
|           last body            |                          final group                          |   0   |     1      |
|           good point           |                         solid benefit                         |   0   |     1      |
|          higher type           |                         superior kind                         |   1   |     1      |
|        military patrol         |                     trained defense group                     |   1   |     1      |
|         couple members         |                        two of the group                       |   0   |     1      |
|       simplified formula       |                     shortened formulation                     |   0   |     1      |
|       correct rendering        |                        precise spelling                       |   0   |     1      |
|        major importance        |                     critical significance                     |   1   |     1      |
|         far more power         |                      greater social pull                      |   0   |     1      |
|           half bath            |                 toilet and sink only bathroom                 |   0   |     1      |
|         subject states         |                    represented territories                    |   0   |     1      |
|          brief attack          |                   limited overtaking effort                   |   0   |     1      |
|         dangerous game         |                        threatening game                       |   1   |     1      |
|            one die             |            a small block of semiconducting material           |   0   |     1      |
|         normal window          |                        usual time frame                       |   0   |     1      |
|            new bit             |                        substitute unit                        |   1   |     1      |
|         clear position         |                       transparent stance                      |   0   |     1      |
|       progressive shift        |                        continuing move                        |   1   |     1      |
|          whole organ           |                 Complete body functional units                |   1   |     1      |
|        opening account         |                         active ledger                         |   1   |     1      |
|           outer coat           |                        exterior jacket                        |   1   |     1      |
|         single vision          |                    popular corrective lens                    |   0   |     1      |
|         clear position         |                       safe-to-go stance                       |   0   |     1      |
|          useful life           |                           shelf span                          |   1   |     1      |
|         right version          |                     opposite to left type                     |   1   |     1      |
|        weight transfer         |                    the movement of the load                   |   0   |     1      |
|        visual direction        |                    creative cinematography                    |   0   |     1      |
|         important spot         |                        imperative place                       |   0   |     1      |
|         common source          |                   Regular delivery mechanism                  |   0   |     1      |
|          field teams           |                       team organizations                      |   1   |     1      |
|          book reading          |                     literature consumption                    |   1   |     1      |
|         couple members         |                       romantic partners                       |   0   |     1      |
|           deep dives           |                         far down swims                        |   0   |     1      |
|          public work           |                      governmental duties                      |   0   |     1      |
|           next call            |                         coming appeal                         |   0   |     1      |
|        common division         |                       regular separation                      |   1   |     1      |
|           play lead            |                          hands result                         |   1   |     1      |
|          first pillar          |                         starting step                         |   0   |     1      |
|         public notice          |                        media spotlight                        |   1   |     1      |
|        program's design        |                     setup of the schedule                     |   1   |     1      |
|           time gold            |                      year, a golden metal                     |   1   |     1      |
|           first side           |                         earliest team                         |   0   |     1      |
|        high concentrate        |                      an enriched formula                      |   0   |     1      |
|         hand positions         |               spots where you place your fingers              |   1   |     1      |
|        principal types         |                         primary models                        |   0   |     1      |
|         official cases         |                        outer coverings                        |   1   |     1      |
|        serious disorder        |                         severe illness                        |   1   |     1      |
|        original volume         |                           first book                          |   1   |     1      |
|        prior expression        |                        previous saying                        |   1   |     1      |
|            blue bag            |                    blue ranch flavored bag                    |   1   |     1      |
|        another surprise        |                   one other unexpected gift                   |   1   |     1      |
|         core condition         |                        key stipulation                        |   1   |     1      |
|         last two cases         |                   two most recent elections                   |   0   |     1      |
|         stronger line          |                     more defensive border                     |   1   |     1      |
|          active hand           |                          dominant paw                         |   0   |     1      |
|          current body          |                    present-day organization                   |   1   |     1      |
|          lead female           |                          alpha female                         |   1   |     1      |
|          another sack          |                         a further raid                        |   0   |     1      |
|          first flush           |           preliminary surface runoff of a rainstorm           |   1   |     1      |
|     installation progress      |                        Download status                        |   0   |     1      |
|            1 credit            |                         a single point                        |   0   |     1      |
|           final turn           |                        concluding hand                        |   0   |     1      |
|      established practice      |                     Long-standing business                    |   1   |     1      |
|         fluid movement         |                         smooth motions                        |   1   |     1      |
|      comfortable position      |                        cushy situation                        |   1   |     1      |
|         close embrace          |                        intimate contact                       |   1   |     1      |
|         invisible line         |                         Invisible Line                        |   1   |     1      |
|        official limits         |                       regulated borders                       |   1   |     1      |
|         either series          |                       end-to-end format                       |   0   |     1      |
|          lead female           |                          main actress                         |   0   |     1      |
|         opposing force         |                       conflicting power                       |   0   |     1      |
|        internal stress         |                        inside pressure                        |   0   |     1      |
